DAY,MONTH,MONTH_ID,YEAR,CAUSE,GROSS INCURRED AMOUNT
 1 ,January,1,1999,WINDSTORM,£478
 1 ,January,1,1999,FIRE,£700
 1 ,January,1,1999,WINDSTORM,£100
 1 ,January,1,1999,WINDSTORM,£140
 1 ,January,1,1999,WINDSTORM,£549
 1 ,January,1,1999,WINDSTORM,£460
 1 ,January,1,1999,WINDSTORM,£447
 1 ,January,1,1999,ESCAPE OF WATER,£886
 1 ,January,1,1999,SUBSIDENCE     ,£0
 1 ,January,1,1999,WINDSTORM,£514
 1 ,January,1,1999,WINDSTORM,£247
 1 ,January,1,1999,ESCAPE OF WATER,"£1,381"
 1 ,January,1,1999,SUBSIDENCE     ,"£1,313"
 1 ,January,1,1999,FLOOD          ,"£1,312"
 1 ,January,1,1999,WINDSTORM,£110
 1 ,January,1,1999,SUBSIDENCE     ,"£26,983"
 1 ,January,1,1999,SUBSIDENCE     ,£0
 1 ,January,1,1999,ESCAPE OF WATER,£0
 2 ,January,1,1999,ACCIDENTAL DAMAGE,£0
 3 ,January,1,1999,FIRE,£0
 5 ,January,1,1999,FIRE,£0
 10 ,January,1,1999,THEFT,£75
 17 ,January,1,1999,WINDSTORM,£645
 18 ,January,1,1999,ESCAPE OF WATER,£470
 25 ,January,1,1999,WINDSTORM,£729
 26 ,January,1,1999,ACCIDENTAL DAMAGE,£441
 29 ,January,1,1999,ACCIDENTAL DAMAGE,£338
 1 ,February,2,1999,ESCAPE OF WATER,£100
 1 ,February,2,1999,WINDSTORM,£100
 1 ,February,2,1999,ACCIDENTAL DAMAGE,£211
 1 ,February,2,1999,ESCAPE OF WATER,£305
 1 ,February,2,1999,ACCIDENTAL DAMAGE,£469
 1 ,February,2,1999,ACCIDENTAL DAMAGE,£625
 1 ,February,2,1999,WINDSTORM,"£1,228"
 3 ,February,2,1999,ESCAPE OF WATER,"£1,422"
 4 ,February,2,1999,WINDSTORM,£785
 7 ,February,2,1999,THEFT,£449
 8 ,February,2,1999,WINDSTORM,£87
 11 ,February,2,1999,ACCIDENTAL DAMAGE,£213
 13 ,February,2,1999,ACCIDENTAL DAMAGE,£0
 14 ,February,2,1999,ESCAPE OF WATER,"£1,718"
 14 ,February,2,1999,THEFT,£415
 16 ,February,2,1999,ACCIDENTAL DAMAGE,"£1,610"
 17 ,February,2,1999,ACCIDENTAL DAMAGE,£613
 18 ,February,2,1999,WINDSTORM,£475
 19 ,February,2,1999,ACCIDENTAL DAMAGE,£475
 19 ,February,2,1999,THEFT,£188
 21 ,February,2,1999,WINDSTORM,"£1,412"
 22 ,February,2,1999,ACCIDENTAL DAMAGE,£347
 25 ,February,2,1999,THEFT,"£2,445"
 26 ,February,2,1999,WINDSTORM,£22
 28 ,February,2,1999,WINDSTORM,£540
 28 ,February,2,1999,ACCIDENTAL DAMAGE,£361
 28 ,February,2,1999,WINDSTORM,£155
 28 ,February,2,1999,WINDSTORM,£407
 28 ,February,2,1999,WINDSTORM,£511
 1 ,March,3,1999,ACCIDENTAL DAMAGE,£0
 1 ,March,3,1999,ACCIDENTAL DAMAGE,£158
 1 ,March,3,1999,ESCAPE OF WATER,£734
 1 ,March,3,1999,ESCAPE OF WATER,"£1,058"
 1 ,March,3,1999,ESCAPE OF WATER,£297
 1 ,March,3,1999,SUBSIDENCE     ,£929
 1 ,March,3,1999,WINDSTORM,£0
 1 ,March,3,1999,ESCAPE OF WATER,£535
 1 ,March,3,1999,SUBSIDENCE     ,£0
 1 ,March,3,1999,ACCIDENTAL DAMAGE,£113
 1 ,March,3,1999,WINDSTORM,"£1,005"
 1 ,March,3,1999,ACCIDENTAL DAMAGE,£855
 2 ,March,3,1999,ESCAPE OF WATER,£639
 2 ,March,3,1999,WINDSTORM,£350
 2 ,March,3,1999,THEFT,£210
 3 ,March,3,1999,THEFT,£175
 4 ,March,3,1999,ACCIDENTAL DAMAGE,£313
 4 ,March,3,1999,ESCAPE OF WATER,£145
 5 ,March,3,1999,ACCIDENTAL DAMAGE,£0
 5 ,March,3,1999,ESCAPE OF WATER,£512
 7 ,March,3,1999,ESCAPE OF WATER,£180
 8 ,March,3,1999,ACCIDENTAL DAMAGE,£613
 8 ,March,3,1999,ACCIDENTAL DAMAGE,£104
 9 ,March,3,1999,ACCIDENTAL DAMAGE,£99
 10 ,March,3,1999,ACCIDENTAL DAMAGE,£0
 10 ,March,3,1999,ESCAPE OF WATER,£0
 10 ,March,3,1999,WINDSTORM,£515
 10 ,March,3,1999,ACCIDENTAL DAMAGE,£560
